state_or_territory,population_estimate_for_july_1_2013_number,census_population_april_1_2010_number,census_population_april_1_2000_number
Alabama,443,4779736,4447100
Alaska,2,710231,626932
American Samoa,,55519; 3,57291
Arizona,364,6392017,5130632
Arkansas,3,2915918,2673400
California,135,37253956,33871648
Colorado,97,5029196,4301261
Connecticut,10,3574097,3405565
Delaware,9,897934,783600
District of Columbia,9,601723,572059
Florida,500,18801310,15982378
Georgia,432,9687653,8186453
Guam,24,159358; 1,154805
Hawaii,54,1360301,1211537
Idaho,36,1567582,1293953
Illinois,135,12830632,12419293
Indiana,423,6483802,6080485
Iowa,6,3046355,2926324
Kansas,127,2853118,2688418
Kentucky,5,4339367,4041769
Louisiana,75,4533372,4468976
Maine,2,1328361,1274923
Maryland,14,5773552,5296486
Massachusetts,24,6547629,6349097
Michigan,2,9883640,9938444
Minnesota,8,5303925,4919479
Mississippi,7,2967297,2844658
Missouri,71,5988927,5595211
Montana,5,989415,902195
Nebraska,16,1826341,1711263
Nevada,116,2700551,1998257
New Hampshire,9,1316470,1235786
New Jersey,39,8791894,8414350
New Mexico,459,2059179,1819046
New York,127,19378102,18976457
North Carolina,523,9535483,8049313
North Dakota,3,672591,642200
Northern Mariana Islands,,53883; 4,69221
Ohio,523,11536504,11353140
Oklahoma,368,3751351,3450654
Oregon,65,3831074,3421399
Pennsylvania,41,12702379,12281054
Puerto Rico,6,3725789,3808610
Rhode Island,11,1052567,1048319
South Carolina,245,4625364,4012012
South Dakota,77,814180,754844
Tennessee,78,6346105,5689283
Texas,522,25145561,20851820
U.S. Virgin Islands,,106405; 2,108612
Utah,179,2763885,2233169
Vermont,15,625741,608827
Virginia,35,8001024,7078515
Washington,26,6724540,5894121
West Virginia,4,1852994,1808344
Wisconsin,13,5686986,5363675
Wyoming,8,563626,493782
