state_or_territory,population_estimate_for_july_1_2013_number,census_population_april_1_2010_number,census_population_april_1_2000_number
California,1534,37253956,33871648
Texas,1410,25145561,20851820
New York,1456,19378102,18976457
Florida,1852,18801310,15982378
Illinois,535,12830632,12419293
Pennsylvania,141,12702379,12281054
Ohio,1777,11536504,11353140
Georgia,1326,9687653,8186453
Michigan,22,9883640,9938444
North Carolina,1500,9535483,8049313
New Jersey,139,8791894,8414350
Virginia,135,8001024,7078515
Washington,235,6724540,5894121
Massachusetts,224,6547629,6349097
Arizona,1648,6392017,5130632
Indiana,1634,6483802,6080485
Tennessee,278,6346105,5689283
Missouri,271,5988927,5595211
Maryland,214,5773552,5296486
Wisconsin,213,5686986,5363675
Minnesota,124,5303925,4919479
Colorado,237,5029196,4301261
Alabama,1122,4779736,4447100
South Carolina,139,4625364,4012012
Louisiana,1128,4533372,4468976
Kentucky,1125,4339367,4041769
Oregon,665,3831074,3421399
Oklahoma,1168,3751351,3450654
Puerto Rico,126,3725789,3808610
Connecticut,234,3574097,3405565
Iowa,36,3046355,2926324
Mississippi,447,2967297,2844658
Arkansas,213,2915918,2673400
Utah,756,2763885,2233169
Kansas,157,2853118,2688418
Nevada,358,2700551,1998257
New Mexico,1630,2059179,1819046
Nebraska,116,1826341,1711263
West Virginia,4,1852994,1808344
Idaho,36,1567582,1293953
Hawaii,54,1360301,1211537
Maine,697,1328361,1274923
New Hampshire,9,1316470,1235786
Rhode Island,11,1052567,1048319
Montana,455,989415,902195
Delaware,9,897934,783600
South Dakota,77,814180,754844
Alaska,4,710231,626932
North Dakota,613,672591,642200
District of Columbia,9,601723,572059
Vermont,25,625741,608827
Wyoming,8,563626,493782
Guam,,159358; 1,154805
U.S. Virgin Islands,,106405; 2,108612
American Samoa,,55519; 3,57291
Northern Mariana Islands,,53883; 4,69221
